"Name","Country","Traveler Type","Score","Score Explanation","Date","Pros","Cons","Response"
"Inga","Russia","Solo traveller","7.9","Good","12 April 2014","Замечательный отель. Недалеко от центра, от зоопарка и от торговых центров. Все, что нужно  - в наличии. Рекомендую!","","",
"Johanna","Netherlands","Solo traveller","7.9","Good","12 April 2014","Prima kamer. Schoon en comfortabel. Uitstekend ontbijt. Rustig hotel en straat. Voor mijn doel op een heel gunstige locatie. Goede restaurants in de buurt.","Op mijn kamer was helaas de safe kapot. Ik kon als alternatief een sleutel hiervoor krijgen. Maar heb dat laten zitten","",
"Viacheslav","Russia","Couple","9.2","Superb","10 April 2014","Удачное месторасположение. От мест шопинга и парков рядом. Рядом зоопарк и крупнейший пересадочный узел, отель в очень тихом квартале, утром птички поют. До музеев можно дойти пешком, хотя лучше велосипед. Есть номера для курящих. Нет проблем с парковкой. Около отеля пристань откуда отправляется отличная трехчасовая обзорная экскурсия по городу на 7 языках. Обратите внимание на стенд с флаерами у рецепции. Можно проходить в музеи заметно дешевле.","В номере для курящих воняет табаком. :) Назад из центра после плотного ужина и пива пешком не дойдешь. Метро или автобус. Поезда в метро однажды ждали 7 минут. С автобусами получше.","",
"Roxane","Belgium","Group of friends","9.2","Superb","10 April 2014","Leuke locatie
Vriendelijk personeel
Super hygiënisch en proper","Wifi werkte niet altijd even goed op elke kamer.. Naarmate je meer naar achter sliep in de gang, was het signaal zwakker","",
"Anna","Russia","Solo traveller","8.8","Fabulous","1 April 2014","Удобное расположение, уютный стильный номер, чисто, приятный персонал, вкусные завтраки","нет звукоизоляции","",
"Qingsong","Germany","Solo traveller","8.8","Fabulous","30 March 2014","Alles gut!","Nichts!","",
"Ronny","Germany","Solo traveller","8.8","Fabulous","29 March 2014","Sauberes Zimmer","Extrakosten für Parkplatz","",
"Konstantin","Russia","Couple","7.5","Good","28 March 2014","Хорошее расположение, приветливый персонал, удобная кровать, чистота","Хотели открыть в номере вино,так ни в ресторане отеля,ни на ресепшене его не оказалось...","",
"Veronica","Argentina","Solo traveller","9.6","Exceptional","27 March 2014","Excelente hotel, limpieza, servicios y precio! No es tan cerca del centro de Berlin pero estas a sólo 10 minutos y con varios medios de transporte.
El servicio y atención fue excelente pero en especial la de una chica española que atendía en la recepción.","La señal de WIFI era algo débil.","",
"Vasileios","Greece","Couple","9.2","Superb","26 March 2014","I exipiretisi kai oi paroxes tou","To megethos tou domatiou","",
"Bartlomiej","Poland","Couple","8.8","Fabulous","26 March 2014","Bardzo dobra lokalizacja, przyjemne miejsce, bardzo czysto","Budynek ogólnie zadbany, widać jednak miejscami leciwość tego miejsca. Wifi działa dobrze ale denerwować może częsta konieczność logowania się","",
"Irina","Russia","Group of friends","9.6","Exceptional","24 March 2014","Все просто отлично. Интернет летал. Расположение отеля в 5 минутах от KaDeWe. В номере микроволновка, чайник, плитка, Очень удобно. Очень мы довольны, обязательно поедем еще раз и остановимся именно тут!","","",
"Francisca","Spain","Couple","8.8","Fabulous","21 March 2014","Personal de recepción  muy servicial. La recepcionista española un encanto. Barrio tranquilo. Parada del autobús 100 y 200  para ir al centro muy cerca.Excelente limpieza y muy buena relación calidad precio.","No hay persianas ni cortinas que impidan la entrada  luz al amanecer.","",
"Alessandro","Brazil","Solo traveller","9.2","Superb","21 March 2014","Quarto confortável. Poderia ter cama de casal","Cozinha boa mas não equipada com panelas","",
"Anh-tam","Germany","Solo traveller","9.6","Exceptional","19 March 2014","Ich habe mein Handy zu Hause vergessen, so dass meine Telefonate mit dem Telefon Hotel getätigt werden müssen. Durch einen Fehler an der Telefonanlage sind meine Telefonzeiten ins Ausland weiter gelaufen, obwohl ich den Hörer schon längst aufgelegt hatte. Das Ergebnis wäre eine sehr teure Telefonrechnung! Die Dame an der Rezeption hat aber die hohen Beträge  kulant storniert, so dass meine sehr angenehme Aufenthalt im Hotel doch noch zu einem guten Ende gekommen ist. Danke !","","",
"Tharcila","Brazil","Couple","9.2","Superb","17 March 2014","Localização muito boa. 5min andando do KaDeWe e metro. Rua silenciosa. Atendimento muito agradável.","Somente a cama tinha colchão muito mole e cama pequena para um casal.","",
"Tatiana","Russia","Solo traveller","8.8","Fabulous","16 March 2014","Все рядом. Удобно добираться. Персонал приветлив и ненавязчив. Чисто, в номере все есть (плитка, микроволновка, чайник и посуда).","","",
"Viola","Germany","Solo traveller","7.9","Good","16 March 2014","TV, Lage in der Nähe der Charite","Fehlende kostenfreie Parkplätze, Kein WLan  Einzelzimmer, Lautstärke durch Bauarbeiten im Flur","",
"Roman","Russia","Couple","10","Exceptional","14 March 2014","все понравилось","","",
"Artur","Italy","Group of friends","4.6","Disappointing","11 March 2014","Gute Lage und sehr gutes Frühstück.","W-Lan funktioniert nicht in allen Zimmern.","",
"Sergio","Italy","Solo traveller","5.4","Passable","9 March 2014","posizione","camera piccola
riscaldamento non regolabile singolarmente
frigobar vuoto
nessun cambio asciugamani in secondo giorno","",
"Willi","Germany","Solo traveller","8","Very good","6 March 2014","Zimmer gutes Preis Leistungsverhältnis","","",
"Olga","Russia","Group of friends","8.8","Fabulous","5 March 2014","Достаточно удобное месторасположение.","Мы бронировали два номера - двух и одноместный. В результате номера оказались абсолютно одинаковые, в том числе кровати. На данной кровати одной паре спать проблематично, т.к. она маленькая. Различия номеров ресепшен прокомментировал наличием одной или двух подушек в зависимости от названия номера.","",
"Dariya","Russia","Group of friends","9.6","Exceptional","4 March 2014","Отличный отель с хорошими, удобными и чистыми номерами, и удачным расположением.","На 7 этаже в дальней по коридору комнате не работает wi-fi, т.к. приставка висит в  начале коридора и сигнал не доходит. Двухместный стандарт ни чем не отличается от одноместного, кроме как наличием второго комплекта полотенец и белья, это нужно учитывать, т.к. кровать не очень большая и спать вдвом людям размера  больше среднего будет не комфортно.","",
"Susanne","Germany","Family","10","Exceptional","4 March 2014","freundliches Personal, gutes , reichhaltiges Frühstück, ruhige aber zentrale Lage, ausreichendes warmes Wasser und eine Heizung die gut funktioniert.","","",
"Dmitrii","Russia","Couple","8.8","Fabulous","2 March 2014","Хорошая цена за сутки. Чисто. Удобная кровать.","Дополнительно оплачивается посуда, wi-fi ловит плохо.","",
"Mark","Netherlands","Couple","7.9","Good","27 February 2014","Prima lokatie om Berlijn te bekijken. Goed ontbijt-buffet, goede wifi, vriendelijk personeel en een moderne badkamer","Soms lang wachten op de lift","",
"Yuichiro","Japan","Group of friends","8.8","Fabulous","26 February 2014","立地も悪くなく、コスパが高い。","少し、部屋が狭いと感じた。","",
"Stefano","Italy","Couple","7.9","Good","26 February 2014","Molto confortevole, ottimamente servito e in zona silenziosa: sicuramente da scegliere","","",
"Rene","Germany","Couple","8.3","Very good","25 February 2014","Preis—Leistung","Keine Hotelparkplätze und somit täglich 11 Euro für Parkgebühren","",
"Emilia","Argentina","Group of friends","7.5","Good","24 February 2014","La ubicación es buena, cerca de paradas de colectivos y metro y a unos pocos metros hay lugares para comer.La habitación cómoda y limpia, me alojé en una doble con baño.Ningún problema","La señal de wifi en la habitación fue regular, iba y venía.","",
"Екатерина","Russia","Solo traveller","7.5","Good","19 February 2014","В номере есть все необходимое, если Вы собираетесь переночевать 1-3 ночи. Мебель новая, номер уютный","Wi-Fi работал только у ресепшн. Проблему его отсутствия в номере решить не смогли","",
"Anna","Italy","Couple","9.6","Exceptional","18 February 2014","Io e il mio ragazzo abbiamo soggiornato dal 13 al 17 febbraio. L'hotel è facile da raggiungere, si trova realmente a 10 minuti a piedi da wittenberg platz e di lì oltre prendere la metro è possibile prendere anche l'autobus. nel nostro prenottamento non era prevista la colazione anche se avessimo voluto è possibile aggiungere qualche decina di euro al giorno. essendoci un piccolo cucinino in camera e un mini frigo è stato possibile prendere qualcosa dal supermercato lì vicino e prepararci le cose in camera. la reception è aperta 24 ore su 24 e lo staff è molto disponibile. le camere carine, luminose, la zona molto tranquilla. Berlino è una città molto bella, offre di tutto per tutti.. da vivere.","nella camera la temperatura dei termosifoni è troppo eccessiva.","",
"Nina","Germany","Solo traveller","6.7","Pleasant","17 February 2014","Die Zimmer, auch in der günstigen Kategorie, waren gut ausgestattet.","Der Weg zu den Appartments und deren Lage führte durch einen grässlichen dunklen Gemeinschaftsflur eines Mehrfamilienhauses abseits des Hotels. Als alleinreisende Frau fühlte ich mich nicht sehr sicher.","",
"Deborah","Portugal","Group of friends","6.7","Pleasant","16 February 2014","Do quarto com mini cozinha.","Da cama de casal com um dos lados colados na parede. Da falta de serviço de quarto e de restaurante. Para uma época fria, um pouco longe do metrô.","",
"Xiaopeng","Poland","Couple","7.9","Good","16 February 2014","everything except the double bed seems like a single bed,too small~~~~~","the double bed is too small","",
"Michel","Brazil","Solo traveller","10","Exceptional","16 February 2014","Gostei de tudo nesse hotel, preço ótimo... muito confortável... ótimo atendimento.. super recomendo","","",
"Hartmut","Germany","Solo traveller","10","Exceptional","13 February 2014","erstklassiges Preisleistungsverhältnis bei ruhiger Lage und für die *** Kategorie ausgezeichneter Zimmeraufteilung und Ausstattung","","",
"Mireyana","Venezuela","Couple","8.3","Very good","8 February 2014","La atención del frontdesk es excelente, en nuestro caso dos de las personas que nos atendieron hablaban español lo cual hizo mucho mas fácil todo! Hay restaurant cerca e inclusive un supermercado, ya que hay neverita y microondas en la habitación es muy útil para tener comida. La estación de metro más cercana está a 5 minutos caminando y está cerca de la parte como moderna de Berlín.","La cama ni fue tan amplia como esperábamos, de hecho para una persona de mayor estatura que la de nosotros le quedaría pequeña.","",
"Frank","Netherlands","Solo traveller","5.8","Okay","8 February 2014","Ligging","Internet werkte niet
Verouderd","",
"Natalia","Russia","Solo traveller","9.6","Exceptional","6 February 2014","Бесплатный wi-fi
Чисто, уютно","Скудные завтраки, неудобная подушка","",
"Mariia","Russia","Group of friends","9.6","Exceptional","5 February 2014","чистые номера, отличное местоположение, хороший интернет в номере","нет","",
"Olga","Russia","Family","9.2","Superb","4 February 2014","Действительно отличное соотношение цена и качество. В отеле все новое и чистое, в ванной комнате и фен и всякие мыльца присутствовали,  персонал приветлив, завтрак сытный и вкусный, общественная парковка прямо под окнами отеля. Местоположение рядом с ZOO и торговыми улицами. До Сони центра 10 минут мелдленным шагом.","Очень плохое качество  wifi. Сеть постоянно терялась и приходилось заново в нее входить.
Завтрак мог бы стоить поменьше.","",
"Jan","Czech Republic","Solo traveller","8.3","Very good","3 February 2014","Neměl jsem žádné problémy","Neměl jsem žádné problémy","",
"Victor","Germany","Solo traveller","6.7","Pleasant","31 January 2014","zentrale Lage in der Nähe von Bhf Zoo, neues Hotel mit comfortabler Ausstattung, Kochnische und Kühlschrank incl.","Reinigungskraft ist lasch, in der Kochnische kein Geschirr und Besteck vorhanden","",
"Wolfgang","Austria","Solo traveller","7.9","Good","29 January 2014","Solides, gutes, preisgünstiges Hotel in ruhiger aber trotzdem vergleichsweise zentraler Lage.","","",
"Christof","Germany","Solo traveller","5.4","Passable","28 January 2014","Lage zur Innenstadt und K'damm sind gut!","Eher ein Boardinghouse als ein Hotel! Frühstücks Buffet sehr übersichtlich! Wer nur eine 'Schlafmöglichkeit' sucht, OK!","",
"Deborah","Portugal","Group of friends","5.8","Okay","28 January 2014","Atendentes simpáticas na recepção. Pequena cozinha kit no quarto. Quarto pequeno, porém aconchegante para uma pessoa.","Não há serviço de bar ou restaurante, apenas o café da manhã, se pago à parte. 
Utensílios de cozinha são pagos à parte, caso queira cozinhar no quarto.
No anúncio diz que há água mineral, chá e café disponíveis no quarto, o que é bom, porém, fiquei uma semana no hotel, usei o que havia disponível, mas nunca tive reposição. :-(
O Hotel fica a 10 minutos de caminhada de qualquer transporte, o que, no frio abaixo de zero, e na neve, é muita coisa! Preferia lago mais perto do metrô.","",
"Mathijs","Netherlands","Family","8.3","Very good","27 January 2014","Een sober maar keurig net hotel strategisch goed gelegen in Berlijn met voldoende parkeergelegenheid voor de deur of in de parkeergarage","De kamers zijn relatief klein. Zeker als je er regelmatig op wilt verblijven.","",
"Pavel","Russia","Solo traveller","9.6","Exceptional","22 January 2014","Приветливый персонал, просторный номер, чистый, приятное оформеление.","WiFi вылетал часто, скорость не была стабильной","",
"Arevik","Russia","Solo traveller","9.2","Superb","22 January 2014","Удобное месторасположение, комфортные номера со всем необходимым, вежливый и внимательный персонал. Можно смело ехать.","","",
"Silke","Germany","Solo traveller","7.9","Good","15 January 2014","rund um die Uhr Rezeption geöffnet, super zentrale Lage","","",
"Larisa","Russia","Solo traveller","8.3","Very good","14 January 2014","Соотношение цена/качество. Небольшой, но очень удобный номер, все продумано. Есть мини кухня. Чисто, приветливый персонал. Хороший завтрак, все вкусно есть выбор. Расположение достаточно удобное, рядом остановка 200 автобуса, до метро 3 остановки.","","",
"Viktor","Russia","Couple","7.5","Good","11 January 2014","Все нормально. хороший отель.","","",
"Ivanov","Russia","Couple","9.2","Superb","10 January 2014","чисто, тихо, опрятно. весьма удобное расположение относительно
спокойного ознакомительного отдыха для семьи. в пешей доступности
зоопарк, крупнейший берлинский парк (тиргенгартен).","не особо близко от метро (минут 10 быстрым шагом), наверное глупо, но
дорога до отеля - сплошь мостовая, поэтому колесики у чемоданов у меня
не выдержали, мало кафешек в округе (стейк-хаус на ближайшем перекрестке
и в торговом центре kadewe около метро), соответственно поесть с утра
негде кроме отеля.","",
"Sergey","Russia","Group of friends","9.2","Superb","9 January 2014","Уютные номера с мини-кухней,плиткой,холодильником,СВЧ. Правда, посуда предоставляется за доп.плату.
В номерах неплохо ловит вай-фай. Отель расположен на тихой улице,по крайней мере,нам так показалось - окна номера выходили во двор. Персонал приветливый и готовый помочь.
До ближайшего метро Wittenbergplatz около 10 минут пешком,там же центральная улица магазинов,от универмагов до бутиков. Совсем неподалеку Берлинский зоопарк,в который мы так и не успели сходить.","Отдых прошел хорошо,никаких отрицательных впечатлений от отеля не было.","",
"Fahad","Saudi Arabia","Group of friends","5.4","Passable","3 January 2014","موقع الفندق قريب جدا من الاسواق والأماكن السياحية","الخدمات","",
"Stefan","Germany","Couple","7.5","Good","3 January 2014","Lage,bequeme betten,gute Ausstattung der zimmer","Hoher preis","",
"Gerda","Netherlands","Couple","7.5","Good","3 January 2014","","Klein bed dat niet van beide zijden bereikbaar is.
Personeel was eerstens niet bereid een oplossing te zoeken voor het feit dat we de parkeergarage niet uit konden. Het parkeerautomaat functioneerde namelijk niet. Omdat de garage geen eigendom van het hotel is wilde de receptioniste geen actie ondernemen. Na enig aandringen verscheen een andere medewerkster die aanbood haar auto uit de garage te rijden zodat wij er vlak achteraan konden rijden zonder dat de slagboom tussentijds zou sluiten. Uiteindelijk dus wel opgelost.","",
"Michael","Germany","Solo traveller","7.9","Good","30 December 2013","Sehr ruhige Lage und dabei alles gut meistens zu Fuß erreichbar","","",
"Swetlana","Russia","Couple","10","Exceptional","19 December 2013","Заселение в отеле с 15:00, но так как мы прилетели рано утром, то уже в 10:00 были в отеле и нас без проблем заселили в номер. Персонал очень приветливый. Номер замечательный,чисто, вся обстановка в хорошем состоянии. Матрас на кровати просто потрясный!!!!-))) На завтрак кофе свежесвареный! Завтраки - шведский стол - все очень вкусно. Нам очень понравилось, рекомендую!","","",
"Marco","Italy","Solo traveller","8.3","Very good","17 December 2013","e' stato un piacevole soggiorno in particolare perfetta la connessione wifi e utilissima la possibilità di poter aver con un supplemento di 5 euro giorno del necessario per cucinare, Con molta probabilità userò nelle prossime volte questo hotel.","unico dato negativo è che l'hotel non è vicinissimo ad una stazione metro, ci vogliono almeno 10 minuti a piedi, tuttavia se si conosce il quartiere non è poi una cosa così grave.","",
"Alfred","Germany","Solo traveller","6.3","Pleasant","17 December 2013","Freundlichkeit des Personals, Sauberkeit und Ausstattung des Zimmers und des Bades: Gratis sind 1 gr. Fl. Mineralwasser, WLAN. Praktisch: Kleine Kochnische mit Kühlschrank)","Nachts kam es zu einem lauten von Gästen mit Schreierei über Stunden und Sachbeschädigung; das Hotelpersonal schritt zwar ein, aber leider erfolglos, so dass viele Gäste um ihre Nachtruhe gebracht wurden.","",
"Pim","Netherlands","Solo traveller","6.3","Pleasant","10 December 2013","Ik vond het ontbijt zeer goed verzorgd en de ligging was zeer gunstig.
En niet te vergeten, de wifi was perfect.","De kamers waren zeer gedateerd van inrichting. Klein, bruine houten
meubels die echt niet meer kunnen. Dus de prijs-kwaliteitsverhouding was
niet goed. Moet voor een lagere prijs aangeboden worden.","",
"Zulfiya","Russia","Solo traveller","6.3","Pleasant","9 December 2013","Чисто в номере, современно, есть ванные принадлежности.","Далеко от метро. Вечером нет ни одного  фонаря-страшновато. От достопримечательностей далековато, но есть 100 автобус, который проедет по самым интересным местам.","",
"Béatrice","Belgium","Solo traveller","7.9","Good","9 December 2013","Chambre avec kitchenette et salle de bain très fonctionnelles
Petit déjeûner","Le lit et l'oreiller un peu trop mous","",
"Sebastian","Poland","Family","8.8","Fabulous","5 December 2013","W miarę dobra lokalizacja,dość blisko do centrum miasta,ciekawa okolica i bardzo miła obsługa.","Brak własnego parkingu.","",
"Mette","Denmark","Couple","7.1","Good","3 December 2013","Dejligt stille kvarter og fred og ro på gangene. Og hjælpsom personale og skøn morgenmad","","",
"Gianluca","Italy","Couple","8.8","Fabulous","3 December 2013","posizione buona nelle vicinanze di zoo garten,albergo molto confortevole e pulito,staff disponibilissimo a qualsiasi orario, utilissimo il piano cottura con frigo nella stanza","secondo i nostri canoni 11.90€ per la colazione era cara però bisognava valutare la quantità e varietà del buffet.","",
"Reinhart","Germany","Solo traveller","8.3","Very good","3 December 2013","Gutes Bett,
gutes Frühstück.
Ideal zum Joggen im Tiergarten","","",
"Aleksandr","Russia","Solo traveller","7.5","Good","26 November 2013","не плохой отель, изначально поселили в прокуренный номер, но после претензии сразу в нормальный переселили. жил там около трех недель, комфортно вполне.","горничные открывают двери своим ключем когда вы находитесь в номере вне зависимости от вашего желания и нескольких криков "подождите минутку" на английском. 
cleaners opens the door with own keys without any permition from you and ignore calls "wait a minute". no any privacy in this hotel is possible.","",
"Beata","Poland","Couple","8.3","Very good","13 November 2013","Bardzo miła i pomocna obsługa + świetna lokalizacja (2 minuty spacerkiem do metra KaDeWe). Obok hotelu jest parking publiczny - płatnośc w parkometrach wychodzi poniżej 10Eur.","Małe problemy z zapchanym odpływem prysznicowym.","",
"Inna","Russia","Family","9.2","Superb","11 November 2013","Отель расположен в центре Берлина, недалеко от зоопарка и аквариума.  Чистый, аккуратный номер. Очень хороший Wi-Fi. Есть небольшая кухня: раковина, плита, холодильник. Полотенца, гель для душа, мыло-всё в наличии. Внимательный персонал. Также можно позавтракать (континентальный завтрак) в отеле за отдельную плату.","Все кухонные принадлежности выдаются за отдельную за плату: 5 евро в сутки или 20 евро за неделю. К сожалению, нет номеров с двумя отдельными кроватями. В номерах только двуспальная кровать (~ 140-150 см.).","",
"Maksim","Russia","Couple","9.2","Superb","5 November 2013","Хороший отель. Отличное территориальное расположение! Находится в пешей доступности от станции U-Bahn Wittenbergplatz в тихом и спокойном месте. Пешком можно дойти до зоопарка, аквариума, Тиргартена и KaDeWe. К номерам и обслуживанию претензий нет. Завтраки не брали. Хороший интернет.В Берлине были впервые, так что сравнить не с чем, но впечатления об отеле только положительные!!!","Серьезных недостатков замечено не было.","",
"Jonathan","Switzerland","Couple","8.8","Fabulous","31 October 2013","Super Gelegen, Super Preis dank Genius, feines Frühstück","","",
"Peter","Germany","Solo traveller","7.5","Good","31 October 2013","Unkompliziert! Würde das Hotel immer wieder Buchen Sicherheitsschuhe am Morgen :-)","Bodenabsatz im Bad! Stolper- und Verletzungsgefahr!","",
"Daisuke","Japan","Solo traveller","9.6","Exceptional","30 October 2013","基本的に綺麗だった。
駅からもバス停からも近く不憫が無かった。","正直探すのに少々手間取った。","",
"Lola","Belgium","Couple","7.1","Good","28 October 2013","Très propre, mais pas d'ordinateur disponible à la réception, et quand tu voyages tu emportes pas toujours ton ordinateur avec. Petit déjeuner bon mais facturé en plus.
Situation près de parc très agréable.","","",
"E.j.m.","Netherlands","Couple","7.1","Good","25 October 2013","Kamer praktisch ingedeeld met Klein keukentje
Modern, fris, schoon
Vriendelijk personeel
Rustige buurt
Ruim parkeergelegenheid","Bed is eenpersoonsbed met tweepersoonsmatras, dit ligt voor tweede persoon niet fijn!","",
"Владимир","Russia","Couple","9.6","Exceptional","16 October 2013","месторосположение","маленький номер","",
"Лариса","Russia","Couple","2.5","Very poor","16 October 2013","","Мы забронировали проживание в отеле и когда приехали, сотрудник  отеля, дежуривший на ресепш сказал, что такой брони у них нет.
Сотрудник отеля принял плату за двухместное размещение, в результате мы попали в одноместный номер, где было 1 одеяло, 1 подушка, 1 комплект полотенец и дырявые как от огнестрельного оружия шторы....","",
"Willem","Netherlands","Solo traveller","9.2","Superb","13 October 2013","Gewoon precies wat het moet zijn. Goed bereikbaar en met parkeergarage.","Geen hotelbar die s' avonds open is","",
"Ivan","Czech Republic","Solo traveller","9.6","Exceptional","13 October 2013","Dostupnost v centru
Příjemný a ochotný personál
Čistota na pokoji
Pohodlí
Dobrá cena","","",
"Vincent","Belgium","Couple","7.1","Good","5 October 2013","proximité de la ligne de départ du marathon de Berlin","lits en coin, pas très accessible et peu pratique","",
"Carl","Denmark","Couple","6.3","Pleasant","2 October 2013","Beliggenheden","Manglende service","",
"Hauke","Germany","Solo traveller","9.5","Exceptional","1 October 2013","Die Kochnische, die Sauberkeit, die Ruhe, die Nähe zum Landwehrkanalufer.","Das Hotel ist mit dem ÖPNV nicht so gut erreichbar.","",
"Christian","France","Solo traveller","5.8","Okay","18 September 2013","","Le décor de la chambre est basic et ancien (rideau déchiré). La
sensation d'être a l'étroit a la réception (tout petit hall).
Dans la chambre on entends les voisins et l'ascenseur. Mal
insonorisé.","",
"Peter","Germany","Solo traveller","7.5","Good","16 September 2013","angenehme Atmosphäre,
aufmerksames Personal","Frühstücksbuffet ist ordentlich, aber zu teuer für das Angebot","",
"Bernhard","Germany","Solo traveller","7.9","Good","11 September 2013","freundlicher Service, günstige Lage, dennoch sehr ruhig","","",
"Galina","Russia","Couple","8.3","Very good","10 September 2013","Удачно расположен, до метро 7 минут пешком. до остановки автобуса № 100 2 минуты. Рядом зоопарк и центральный парк. Хороший завтрак.","Рано утром начинает гудеть и греметь машина вывозящая мусор, т.к. нет кондиционера в теплое время года, приходится открывать окно, что не очень комфортно.","",
"Francesca","Italy","Couple","3.8","Poor","9 September 2013"," camere pulite
- la croissanteria dietro l'angolo
- camere silenziose"," il letto spaccaschiena (davvero mortale)
- sul sito dice che affittano le bici ma non è vero
- come zona non è il massimo, ci sono molti negozi ma di grandi catene. Poco caratteristica.","",
"José","Germany","Solo traveller","8.3","Very good","2 September 2013","Gutes Preis-Leistungs-Verhältnis. Freundliches Personal. Kleine Küchenzeile + Mikrowelle im Zimmer. Kostenloses W-LAN mit guter Ausleuchtung.","Auswahl an Brötchen und Brot beim Frühstück durchwachsen.","",
"Patricia","Germany","Solo traveller","6.3","Pleasant","8 October 2014","","","",
"Silvia","Germany","Solo traveller","8.3","Very good","6 October 2014","","","",
"Paula","Chile","Couple","7.9","Good","2 October 2014","","","",
"Claudia","Italy","Couple","6.7","Pleasant","2 October 2014","","","",
"Mauricio","Chile","Couple","7.9","Good","30 September 2014","","","",
"Dmitry","Russia","Solo traveller","8.3","Very good","30 September 2014","","","",
"Jacopo","Italy","Solo traveller","8.3","Very good","29 September 2014","","","",
"Darius5","Poland","Group of friends","7.1","Good","29 September 2014","","","",
"Stas","Ukraine","Group of friends","7.9","Good","24 September 2014","","","",
"Elena","Netherlands","Couple","7.9","Good","23 September 2014","","","",
"Iuliia","Ukraine","Solo traveller","8.3","Very good","23 September 2014","","","",
"Daniela","Italy","Family","8.3","Very good","23 September 2014","","","",
"Leif","Denmark","Solo traveller","7.5","Good","20 September 2014","","","",
"Petr","Czech Republic","Solo traveller","8.3","Very good","18 September 2014","","","",
"Viktoras","Denmark","Couple","7.5","Good","15 September 2014","","","",
"Stanislav","Russia","Couple","7.5","Good","12 September 2014","","","",
"Milka","Italy","Solo traveller","3.8","Poor","11 September 2014","","","",
"melikec","Turkey","Group of friends","5.8","Okay","11 September 2014","","","",
"Giovanni","Italy","Solo traveller","5","Passable","11 September 2014","","","",
"Joachim","Germany","Couple","10","Exceptional","10 September 2014","","","",
"Robert","Germany","Solo traveller","6.7","Pleasant","8 September 2014","","","",
"Martin","Germany","Solo traveller","8.3","Very good","4 September 2014","","","",
"Aleksandr","Russia","Couple","8.8","Fabulous","2 September 2014","","","",
"L.patrick","Norway","Solo traveller","8.8","Fabulous","2 September 2014","","","",
"Gilberto","Italy","Couple","8.3","Very good","26 August 2014","","","",
"Finn","Denmark","Solo traveller","9.2","Superb","25 August 2014","","","",
"Sabina","Romania","Solo traveller","7.5","Good","24 August 2014","","","",
"Giulia","Italy","Couple","3.8","Poor","24 August 2014","","","",
"Fred","Germany","Couple","8.3","Very good","22 August 2014","","","",
"Honorine","France","Group of friends","8.8","Fabulous","16 August 2014","","","",
"Koichi","Japan","Solo traveller","9.2","Superb","14 August 2014","","","",
"José","Ireland","Family","5.8","Okay","14 August 2014","","","",
"Antonio","Italy","Couple","7.9","bellissimo","13 August 2014","","","",
"Nadezda","Russia","Family","9.6","Exceptional","12 August 2014","","","",
"Martina","Italy","Couple","7.5","Good","5 August 2014","","","",
"Ariel","Brazil","Couple","9.2","Superb","2 August 2014","","","",
"Idalia","Poland","Group of friends","9.2","Superb","29 July 2014","","","",
"Peter","Germany","Solo traveller","7.1","Good","27 July 2014","","","",
"Janet","Sweden","Solo traveller","5.4","Passable","27 July 2014","","","",
"belly","Italy","Couple","7.9","Good","14 July 2014","","","",
"Zsanna","Hungary","Couple","7.9","Berlin love","10 July 2014","","","",
"Alena","Czech Republic","Solo traveller","9.2","Superb","3 July 2014","","","",
"Stefan","Germany","Solo traveller","7.9","Good","3 July 2014","","","",
"Jaemo","Germany","Solo traveller","4.2","Disappointing","2 July 2014","","","",
"Andres","Germany","Solo traveller","8.8","Fabulous","30 June 2014","","","",
"Louise","Denmark","Couple","7.9","Good","27 June 2014","","","",
"Aigul","Germany","Solo traveller","6.7","Pleasant","20 June 2014","","","",
"Miguel","Germany","Solo traveller","7.5","Good","16 June 2014","","","",
"Maximilian","Ireland","Group of friends","10","Exceptional","12 June 2014","","","",
"Thomas","Germany","Solo traveller","7.9","Good","10 June 2014","","","",
"Jürgen","Germany","Couple","7.1","Good","10 June 2014","","","",
"Tereza","Czech Republic","Solo traveller","5.8","Okay","4 June 2014","","","",
"Chiara","Italy","Couple","9.6","Exceptional","3 June 2014","","","",
"Kevin","France","Couple","10","Exceptional","3 June 2014","","","",
"Olav","Norway","Group of friends","8.3","Very good","30 May 2014","","","",
"Agata","Poland","Solo traveller","10","Exceptional","28 May 2014","","","",
"Leonardo","Brazil","Solo traveller","7.1","Good","26 May 2014","","","",
"Ralf","Germany","Solo traveller","8.8","Fabulous","20 May 2014","","","",
"Silvia","Germany","Group of friends","7.9","Good","20 May 2014","","","",
"Christoph","Germany","Solo traveller","9.6","Exceptional","18 May 2014","","","",
"Jimmie","Denmark","Couple","7.5","Good","14 May 2014","","","",
"Timo","Germany","Solo traveller","7.9","Good","11 May 2014","","","",
"Clemens","Germany","Couple","8.3","Very good","7 May 2014","","","",
"Isabelle","Belgium","Group of friends","8.8","Fabulous","6 May 2014","","","",
"Элина","Russia","Couple","8.8","Fabulous","6 May 2014","","","",
"Afolio","Russia","Solo traveller","9.2","Superb","6 May 2014","","","",
"Dušan","Slovenia","Couple","8.3","Very good","5 May 2014","","","",
"Aliaksandr","Poland","Couple","7.1","Good","5 May 2014","","","",
"Wenjin","China","Solo traveller","9.2","Superb","5 May 2014","","","",
"Viktor","Russia","Couple","10","Exceptional","1 May 2014","","","",
"Anna","Germany","Group of friends","7.5","Good","1 May 2014","","","",
